german,french,rumantsch,italian,english,canton,postal code
DE,FR,RM,IT,EN,,
Ablentschen,,,Biasca,,TI,6710
Aelen,Aigle,,,,VD,1860
Aelenmöser,Les Mosses,,,,VD,1862
Affeier,,Vivèr,,,GR,7138
Agiz,Agiez,,,,VD,1352
Agriswil,Agrimoine,,,,FR,3216
Albinen,Arbignon,,,,VS,3955
Almens,,Almen,,,GR,7416
Altavilla,Hauteville,,,,FR,3280
Altdorf,Bassecourt,,,,JU,2854
Altenfüllen,Hauteville,,,,FR,1648
Altenryf,Hauterive,,,,NE,2068
Alvaneu,,Alvagni,,,GR,7492
Alvaneu Bad,,Bogn d'Alvagni,,,GR,7473
Alvaschein,,Alvaschagn,,,GR,7451
Amsteg,,La Punt,,,UR,6474
Andermatt,,Ursera,,,UR,6790
Andest,,Andiast,,,GR,7159
Appenzell,Appenzell,Appenzell,Appenzello,,AI,9050
Arden,Ardon,,,,VS,1957
Arnen,Arnon,,,,BE,3785
Arosa,,,,,GR,7050
Ascharin,,Ascharina,,,GR,7245
Ausserferrera,,Ferrera,,,GR,7444
Avenches,Avenches,,,,VD,1580
Avent,Aven,,,,VS,1976
Avernach,Auvernier,,,,NE,2012
Avry ob Matran,Avry-sur-Matran,,,,FR,1754
Bad Ragaz,,Ragaz Bogn,,,SG,7310
Baderswil,Bavelier,,,,JU,2807
Bärenburg,,Balamburtg,,,GR,7440
Bärfischen,Barberêche,,,,FR,1783
Bargis,,Bargias,,,GR,7017
Bärschwil,Bermeveiller,,,,SO,4252
Basel,Bâle,Basilea,Basilea,Basel,BS,4000
Battendorf,Corban,,,,JU,2826
Beffert,Perrefitte,,,,BE,2742
Beis,Bex,,,,VD,1880
Bellenz,Bellinzone,Blizuna,Bellinzona,,TI,6500
Bellmund,Belmont,,,,BE,2564
Bergtramlingen,Mont-Tramelan,,,,BE,2723
Bergün,,Bravuogn,,,GR,7482
Berlingen,Berlens,,,,FR,1680
Berlinsdorf,Berlincourt,,,,JU,2854
Bern,Berne,Berna,Berna,Bern,BE,3000
Berninahäuser,,Bernina Suot,,,GR,7710
Berninahospiz,Hospice de la Bernina,Ospizi dal Bernina,Ospizio Bernina,,GR,7710
Bevers,,Bever,,,GR,7502
Bewiler,Bévilard,,,,BE,2735
Biberbrugg,,,,,SZ,8836
Biel,Bienne,Bienna,Bienna,Biel,BE,2500
Biestingen,Boécourt,,,,JU,2856
Bionning,Bionnens,,,,FR,1670
Bipschal,Bévesier,,,,BE,2513
Birnier,Bovernier,,,,VS,1932
Bissemberg,Montorge,,,,FR,1700
Bivio,,Beiva,Bivio,,GR,7457
Bochten,La Tine,,,,VD,1836
Boll,Bulle,,,,FR,1630
Bonaduz,,Panaduz,,,GR,7402
Bonn-Bad,Bains-de-Bonn,,,,FR,3186
Bösingen,Bésingue,,,,FR,3178
Botteringen,Botterens,,,,FR,1652
Bözingen,Boujean,,,,BE,2500
"Brämis, Bremis",Bramois,,,,VS,1967
Brandisholz,"Breuleux, Les",,,,JU,2345
Breitenach,Bertigny,,,,FR,1752
Breitenbach,Bretonbac,,,,SO,4226
Brienz,,Brinzauls,,,GR,7084
Brig,Brigue,,Briga,,VS,3900
Brigels,,Breil,,,GR,7165
Brigels,Breilles,,,,FR,1783
Brisa,,,Brissago,,TI,6614
Brischwiler,Beurnevésin,,,,JU,2935
Brittenach,Les Britanières,,,,BE,2533
Bruck,Broc,,,,FR,1636
Brugg,Brougg,,,,AG,5200
"Brüs, Brüsch",,,Brusio,,GR,7743
Brüttelen,Bretiège,,,,BE,2578
Bubenberg,Montbovon,,,,FR,1835
Bubendorf,Boncourt,,,,JU,2926
Buchen im Prättigau,,Fagieu,,,GR,7223
Buchs,Buix,,,,JU,2925
Büchslen,Buchillon,,,,FR,3215
Büderich,Péry,,,,BE,2603
Büderichberg,Montagne-de-Péry,,,,BE,2603
Büderichgraben,Combe-de-Péry,,,,BE,2603
Bundtels,Pontels,,,,FR,3186
Bundth,,Buond,Bondo,,GR,7606
Burg bei Murten,Châtel sur Morat,,,,FR,3280
Burg im Leimental,La Bourg,,,,BL,4117
Burgdorf,Berthoud,,,,BE,3400
Bürglen,Bourguillon,,,,FR,1722
"Bürkis, Bürgis",Bourrignon,,,,JU,2803
Burnen,Bure,,,,JU,2915
Burwein,,Burvagn,,,GR,7452
Busen,,,Buseno,,GR,6542
Byssen,,,Bissone,,TI,3816
"Camogask, Ponte-",,"Chamues-ch, La Punt-","Campovasto, Ponte-",,GR,7522
Campfer,,Champfèr,,,GR,7512
Casätsch,,Casaccia,Casaccia,,GR,7602
Cazis,,Cazas,,,GR,7408
Celerina,,Schlarigna,,,GR,7505
Chur,Coire,Cuira,Coira,,GR,7000
Churwalden,,Curvalda,,,GR,7075
Cierfs,,Tschierv,,,GR,7532
Cinuskel,,Cinuos-chel,,,GR,7526
Clugin,,Clugén,,,GR,7442
Compadials,,Cumpadials,,,GR,7176
Conters im Oberhalbstein,,Cunter (Surmeir),,,GR,7452
Conters im Prättigau,,Cunter en il Partenz,,,GR,7241
Cordast,La Corbaz,,,,FR,1792
Cormasing,Cormagens,,,,FR,1783
Cottingen,Cottens,,,,FR,1741
Courmoen,Grimoine,,,,FR,1783
Cumbels,,Cumbel,,,GR,7142
Curtepy,Courtepin,,,,FR,1784
Cutterwil,Cutterwil,,,,FR,1782
Cüvellingen,Ecuvillens,,,,FR,1730
Dachsfelden,Tavannes,,,,BE,2710
Dachslingen,Daillens,,,,VD,1306
Dalin,,Dalign,,,GR,7424
Dalingen,Denges,,,,VD,1026
Davos,,Tavau,,,GR,7270
Davos Dorf,Davos-Village,Tavau Vitg,,,GR,7270
Davos Platz,Davos-Place,Tavau Plaz,,,GR,7270
Delsberg,Delémont,,,,JU,2800
Dietwiler,Develier,,,,JU,2802
Disentis,,Mustér,,,GR,7180
Donath (Schams),,Donat (Schons),,,GR,7433
Düdingen,Guin,,,,FR,3186
Duvin,Duin,,,,GR,7112
Einsiedeln,,Nossadunnaun,,,SZ,8840
"Eirels, Eriels",,Iriel,Airolo,,TI,6780
Elm,,Dialma,,,GL,8767
Ems,,Domat,,,GR,7013
Englisberg,Agy,,,,FR,1763
Eppenach,Epagny,,,,FR,1664
Ergenzach,Arconciel,,,,FR,1732
Erlach,Cerlier,,,,BE,3235
Erschwil,Erginvillier,,,,SO,4228
Esso,Vissoie,,,,VS,3961
Estavanning,Estavannes,,,,FR,1665
Falkenberg,Montfaucon,,,,JU,2875
Fardün,,Farden,,,GR,7433
"Fäsch, Vesch",Vex,,,,VS,1981
Favernach,Farvagny,,,,FR,1726
Feldis,,Veulden,,,GR,7404
Fellers,,Falera,,,GR,7153
Felsberg,,Favugn,,,GR,7012
Ferenbalm,La Baumette,,,,FR,3216
Feschel,Veschel,,,,VS,3956
Fetan,,Ftan,,,GR,7551
Fetenach,Fétigny,,,,FR,1532
Fideris,,Fadrein,,,GR,7235
